Product ID,Category,Sub Category,Description FR,Sizes,Production Cost
1,Feminine,Coats and Blazers,Sports Velvet Sports Avec Des Boutons,S|M|L|XL,10.73
2,Feminine,Sweaters and Knitwear,Lechard De Denim Rose Avec Boutons,S|M|L|XL,19.55
3,Feminine,Dresses and Jumpsuits,Tricot Imprime En Tricot Noir,S|M|L|XL,25.59
4,Feminine,Shirts and Blouses,Chemisier En Coton De Base,S|M|L|XL,27.62
5,Feminine,T-shirts and Tops,T-Shirt En Coton De Base,S|M|L,11.69
6,Feminine,Pants and Jeans,Jean Skinny Femelle,36|38|40|42|44|46,6.7
7,Feminine,Skirts and Shorts,Jupe Feminine Midi Plissada,S|M|L,9.11
8,Feminine,Suits and Sets,Jeu De Chemisier Midi Et De Jupe,S|M|L,14.37
9,Feminine,Sportswear,Sweat-Shirt Pour Femmes,S|M|L|XL,29.04
10,Feminine,Lingerie and Pajamas,Esquisser,S|M|L|XL,16.5
11,Feminine,Accessories,Sac En Cuir Pour Femmes,,1.9
12,Masculine,Coats and Blazers,Dentelle Jaune Boho Avec Capuche,M|L|XL|XXL,33.22
13,Masculine,Sweaters and Sweatshirts,Tricot Rouge Occasionnel Avec Fermeture Eclair,M|L|XL|XXL,15.8
14,Masculine,T-shirts and Polos,Boho Jacquard Branco Com Paillettes,M|L|XL|XXL,8.36
15,Masculine,Shirts,Chemise Sociale Pour Hommes,M|L|XL|XXL,6.87
16,Masculine,Pants and Jeans,Jeans Masculino Maigre,38|40|42|44|46|48,23.87
17,Masculine,Suits and Blazers,Blazer Masculin Classique De La Couture,M|L|XL|XXL,40.81
18,Masculine,Sportswear,T-Shirt De Formation A Sec Pour Hommes,M|L|XL|XXL,21.7
19,Masculine,Underwear and Pajamas,Boxer Pour Hommes Confortable,M|L|XL|XXL,14.58
20,Masculine,Accessories,Montre-Poignet Masculine Avec Bracelet En Cuir,,3.85
21,Children,Baby (0-12 months),Casual Tricot Turquesa Com Glitter,P|M|G,11.21
22,Children,"Girl and Boy (1-5 years, 6-14 years)",Boho Jacquard Rosa Com Franjas,P|M|G|GG,7.41
23,Children,Coats,Ligne De Ligne Punk Lisse,P|M|G,12.56
24,Children,Sweaters,Jersey De Coton Pour Enfants Avec Imprime Amusant,P|M|G,13.46
25,Children,Pajamas,Pyjama En Coton Pour Enfants Avec Etoiles Imprimees,P|M|G,13.83
26,Children,Accessories,Cap,,5.37
27,Feminine,Coats and Blazers,Jeans Lilas Executif,S|M|L|XL,20.37
28,Feminine,Sweaters and Knitwear,Laine Rose Sportive,S|M|L|XL,28.09
29,Feminine,Dresses and Jumpsuits,Suede Blanc Classique Avec Volants,S|M|L|XL,20.79
30,Feminine,Shirts and Blouses,Chemise Sociale Des Femmes,S|M|L|XL,8.55
31,Feminine,T-shirts and Tops,Top Cropped De Malha,S|M|L|XL,1.86
32,Feminine,Pants and Jeans,Pantalon Fustile Des Femmes,36|38|40|42|44|46,42.43
33,Feminine,Skirts and Shorts,Jupe Longue Imprimee,S|M|L|XL,2.76
34,Feminine,Suits and Sets,Fait De Couture Feminine,S|M|L|XL,27.84
35,Feminine,Sportswear,Legging De Compression Feminin,S|M|L|XL,6.5
36,Feminine,Lingerie and Pajamas,Chemise En Soie Pour Femmes,S|M|L|XL,11.43
37,Feminine,Accessories,Boucle D'Oreille De Cerceau Pour Femmes,,8.07
38,Masculine,Coats and Blazers,Denim Vert Classique Avec Arc,M|L|XL|XXL,23.29
39,Masculine,Sweaters and Sweatshirts,Daim Rouge Occasionnel Avec Boucle,M|L|XL|XXL,5.24
40,Masculine,T-shirts and Polos,Nylon En Or Luxueux Avec Fermeture Eclair,M|L|XL|XXL,8.45
41,Masculine,Shirts,Polo Pour Hommes,M|L|XL|XXL,8.13
42,Masculine,Pants and Jeans,Pantalon Masculin Slim,38|40|42|44|46|48,13.28
43,Masculine,Suits and Blazers,Fait Masculin Slim Fit Avec Un Collier Standard,M|L|XL|XXL,64.21
44,Masculine,Sportswear,Short De Course Masculin Avec Une Technologie De Sechage Rapide,M|L|XL|XXL,22.16
45,Masculine,Underwear and Pajamas,Cueca Slip Masculina De Microfibra,M|L|XL|XXL,6.55
46,Masculine,Accessories,Ceinture En Cuir Avec Boucle En Metal Argente,,1.65
47,Children,Baby (0-12 months),Satin Lilas Vintage Avec Fermeture Eclair,P|M|G,13.27
48,Children,"Girl and Boy (1-5 years, 6-14 years)",Broderie Neutre Decontractee Jacquard,P|M|G|GG,4.98
49,Children,Coats,Depouille De Moutarde Rembourree Jacquard,P|M|G,30.87
50,Children,Sweaters,Sweat-Shirt Pour Enfants Avec Capuche,P|M|G,10.55
51,Children,Pajamas,Pyjama De Flanelle Pour Enfants Avec Echecs Traditionnels,P|M|G,20.5
52,Children,Accessories,Sac A Dos Pour Enfants Avec Des Personnages Amusants,,1.76
53,Feminine,Coats and Blazers,Boho En Cuir Vert Fume,S|M|L|XL,32.53
54,Feminine,Sweaters and Knitwear,Silk Blanc Depouille Avec Fermeture Eclair,S|M|L|XL,24.84
55,Feminine,Dresses and Jumpsuits,Coton Bleu De Haute Technologie Avec Boucle,S|M|L|XL,13.71
56,Feminine,Shirts and Blouses,Chemisier De Rendu A Manches Longues,S|M|L|XL,8.89
57,Feminine,T-shirts and Tops,T-Shirt Com Estampa De Bandana,S|M|L|XL,4.75
58,Feminine,Pants and Jeans,Jeans En Forme De Maman,36|38|40|42|44|46,20.75
59,Feminine,Skirts and Shorts,Jupe En Coton Courte,S|M|L|XL,16.26
60,Feminine,Suits and Sets,Ensemble De Pantalons De Chemisier Et D'Epluche,S|M|L|XL,15.8
61,Feminine,Sportswear,Top Sportif Avec Soutien,S|M|L|XL,11.1
62,Feminine,Lingerie and Pajamas,Lingerie Corporelle Sensuelle,S|M|L|XL,5.53
